45.7,28.4,34.4,0.0,29.95,26.70,5.00,5.29,13.8,37.5
48.900,35.600,37.600,0.050,29.710,26.500,5.200,2.990,10.200,40.800
43.900,35.600,36.800,0.100,29.690,26.490,5.700,5.180,13.800,39.300
42.400,26.600,25.500,0.000,29.950,26.730,8.700,5.410,11.300,35.600
42.100,20.700,24.800,0.000,30.220,26.930,6.600,0.920,8.060,29.500
39.700,23.400,28.200,0.000,30.220,26.950,4.500,1.150,5.870,32.200
52.200,24.800,30.700,0.000,30.270,26.990,3.700,0.580,4.720,35.300
54.300,22.500,29.500,0.000,30.330,27.040,3.500,0.690,5.870,34.900
50.700,22.600,28.500,0.000,30.260,26.980,3.600,2.650,16.100,32.100
47.300,21.900,28.800,0.000,30.110,26.830,5.300,2.300,9.210,33.500
48.600,23.000,29.500,0.050,30.000,26.750,5.400,1.270,5.870,35.600
41.700,30.200,32.800,0.200,30.150,26.900,2.200,1.840,9.210,35.300
50.000,30.200,33.800,0.000,30.170,26.900,4.800,3.800,13.800,37.900
49.300,28.800,31.200,0.000,30.010,26.770,7.600,7.020,16.100,37.500
41.000,32.000,35.700,0.050,29.730,26.510,5.900,4.490,13.800,38.700
39.600,26.600,30.400,0.050,29.810,26.580,6.700,6.900,13.800,36.100
43.200,21.700,28.100,0.000,30.180,26.910,4.200,0.690,4.720,32.600
52.500,26.600,31.000,0.000,30.380,27.110,4.100,1.150,8.060,37.400
52.700,27.300,32.000,0.050,30.270,26.990,5.300,3.800,11.300,38.600
48.200,24.800,28.400,0.000,30.230,26.970,7.300,3.680,9.210,37.200
38.100,22.600,27.400,0.000,30.060,26.770,3.300,0.460,4.720,30.300
35.600,24.800,26.200,0.200,30.060,26.800,6.800,7.480,13.800,32.200
36.700,19.000,17.500,0.000,30.260,26.950,8.100,4.720,10.200,26.400
41.000,15.800,16.400,0.000,30.100,26.790,6.800,1.730,20.800,26.900
42.800,19.400,22.000,0.050,30.010,26.730,5.000,2.300,10.200,30.300
46.400,19.000,22.600,0.050,30.040,26.730,5.200,4.260,13.800,29.600
48.200,18.900,24.900,0.000,30.030,26.770,6.300,3.340,11.300,33.500
47.100,28.400,31.400,0.050,29.890,26.690,7.100,4.830,25.300,37.600
44.200,36.300,35.800,0.050,29.610,26.420,8.100,4.830,11.300,40.200
40.600,30.200,30.600,0.400,29.690,26.490,7.800,7.830,11.300,36.100
34.200,26.400,23.900,0.000,29.870,26.620,8.200,8.750,14.900,30.300
34.200,21.200,20.300,0.000,30.040,26.760,8.100,5.980,12.700,27.500
34.200,17.600,18.700,0.050,30.260,26.950,7.700,5.520,10.200,25.500
37.400,17.600,19.500,0.050,30.230,26.930,7.300,5.060,12.700,27.000
40.300,16.900,24.600,0.050,30.120,26.830,8.500,4.370,13.800,30.700
48.900,26.600,30.500,0.000,30.140,26.890,7.000,4.600,14.900,38.300
50.000,24.100,27.600,0.400,30.260,26.970,5.800,0.920,4.720,35.800
46.800,23.000,28.500,0.050,29.970,26.720,6.100,4.030,13.800,35.000
43.200,33.800,34.000,0.100,29.840,26.610,7.300,4.030,8.060,37.500
42.400,30.200,30.100,0.000,30.040,26.790,8.400,7.830,13.800,35.800
39.900,24.100,24.800,0.050,29.940,26.690,8.000,9.550,14.900,32.000
39.900,31.600,31.900,0.000,29.740,26.520,5.200,3.340,10.200,35.500
43.200,32.000,32.500,0.000,29.730,26.520,6.200,7.830,14.900,37.000
35.600,28.400,28.300,0.000,29.860,26.620,6.700,9.780,13.800,32.200
29.500,24.800,23.300,0.050,30.130,26.830,7.600,12.200,31.000,26.500
39.200,22.600,19.900,0.100,29.950,26.670,4.000,14.300,18.300,25.000
28.400,6.800,10.500,0.200,30.270,26.930,8.400,6.100,12.700,20.100
30.200,-2.200,4.800,0.000,30.570,27.160,5.400,0.690,8.060,13.100
39.200,-0.800,12.200,0.000,30.560,27.180,3.700,0.460,4.720,18.900
42.100,14.700,18.800,0.000,30.260,26.960,6.400,2.300,10.200,26.200
45.300,19.200,24.600,0.000,30.090,26.800,6.200,0.810,6.900,31.100
34.200,26.600,29.600,0.000,29.960,26.700,1.900,0.000,3.340,31.700
46.000,30.200,31.900,0.000,29.900,26.650,5.700,3.220,12.700,35.200
44.600,30.900,32.200,0.000,29.970,26.730,7.000,1.960,6.900,37.400
48.600,26.600,30.000,0.050,30.030,26.770,5.300,2.990,8.060,36.900
42.800,30.900,34.600,0.050,29.920,26.690,10.300,4.600,13.800,37.600
45.000,33.800,34.900,0.400,29.930,26.700,8.200,6.440,18.300,39.200
45.700,28.000,25.000,0.200,30.200,26.930,8.600,5.180,12.700,36.100
50.400,22.600,27.400,0.000,30.220,26.950,5.800,2.300,8.060,35.200
59.400,22.300,28.800,0.000,30.230,26.960,6.100,2.300,10.200,40.500
63.500,26.200,29.700,0.050,30.240,26.970,6.800,2.070,8.060,43.400
61.200,28.400,31.600,0.000,30.030,26.800,7.500,3.910,12.700,43.800
48.700,30.200,33.000,0.000,29.980,26.750,7.900,3.570,10.200,40.200
41.000,33.800,31.700,0.400,29.790,26.580,8.800,14.700,32.200,37.200
37.800,24.800,20.400,0.100,29.870,26.650,9.400,13.300,19.400,32.100
39.400,17.600,18.300,0.050,30.090,26.800,9.500,4.490,10.200,28.100
40.100,22.600,23.900,0.050,30.040,26.770,8.100,3.340,8.060,33.200
43.200,30.200,24.500,0.000,29.980,26.730,8.300,7.500,13.800,36.600
39.200,28.400,23.600,0.000,30.040,26.780,8.800,10.500,14.900,34.100
44.600,27.000,23.700,0.000,30.020,26.760,8.700,12.200,17.200,34.400
